Sample;Gender;Based;Research1;Research2;Field1;Field2;Position;SoftAnalysis1;SoftAnalysis2;SoftAnalysis3;SoftAnalysis4;OpenAllAnalysis;OpenSomeAnalysis;SoftWriting1;SoftWriting2;SoftWriting3;SoftWriting4;OpenAllWriting;OpenSomeWriting;SoftViz1;SoftViz2;SoftViz3;SoftViz4;OpenAllViz;OpenSomeViz;WhichKnownRepositories;KnownRepositories;PublishedSomething;WillGA;WillGAIf;WillGANo;PublishedNoWillPreprint;WillPreprintWhich;WillPreprintWhichWhy;WillPreprintNo;DidGA;WhyYes1;WhyYes2;WhyYes3;DidGANo1;DidGANo2;NoGAWillGreen;DidPreprint;LevelPreprint;WhichPreprint;PreprintNo1;PreprintNo2;WillPreprint;Methods1;Methods2;Replicability;NewData;RawData;WhereRaw1;WhereRaw2;RawRepo1;RawRepo2;RawRepo3;Recognition;MoreOD;Contact1;Contact2;Contact3;Contact4;Contact5;ContactOption;Social;Part2;Timestamp
43;Female;Europe;Africa;Asia;Archaeology;Palaeoenvironment;Junior_postdoc;Excel;;;;No;No;Docs;LaTeX;Word;;No;Yes;Grapher;illustrator;Office;Inkscape;No;Yes;PANGAEA;Yes;Yes;;;;;;;;Yes;Facilitated;;;;;;Yes;1;Reccomendation;;;;Reference;Modifications;Yes;4;20;Supplementary;;;;;Maybe;Yes;Email;Facebook;Instagram;;;Email;Yes;Yes;2021/09/07_8:14:30_pm_CET
45;Female;Americas;Americas;;Archaeology;;Senior_tenured;Sheets;Excel;R;SPSS;No;Yes;Docs;Word;;;No;No;Grapher;Illustrator;Office;R;No;Yes;Yes, OpenDOAR and Open Aire.;Yes;Yes;;;;;;;;Yes;Facilitated;;;;;;No;;;;;Yes;Reference;;Yes;4;20;Supplementary;;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/09/10_12:30:12_pm_CET
46;Female;Europe;Asia;Europe;Archaeology;Palaeoenvironment;Junior_postdoc;Excel;OpenOffice_LibreOffice;CAPCA;PAST;No;Yes;Docs;Word;;;No;No;illustrator;Office;R;Countplot;No;Yes;;No;Yes;;;;;;;;Yes;Required;Planned;Facilitated;;;;No;;;;;Yes;Modifications;Detailed;Yes;4;80;Main;Supplementary;;;;Maybe;Yes;Email;Web;;;;Email;No;Yes;2021/09/10_12:32:57_pm_CET
47;Female;Americas;Americas;;Archaeology;;Junior_postdoc;Sheets;Excel;;;No;No;Docs;Word;;;No;No;Office;;;;No;No;suquia, sedici... and gbif portal;Yes;Yes;;;;;;;;No;;;;Money;;;No;;;Plagiarism;;;Reference;Modifications;Yes;6;60;Supplementary;;;;;Maybe;Yes;Email;Twitter;Facebook;Instagram;;Email;Yes;Yes;2021/09/10_12:55:31_pm_CET
48;Female;Australia_Pacific;Africa;Asia;Palaeoenvironment;Paleontology;PhD_candidate;Excel;;;;No;No;Word;;;;No;No;C2;Illustrator;Office;;No;No;;No;Yes;;;;;;;;No;;;;Unaware;;;No;;;Unscientific;;;Reference;Modifications;Yes;4;60;Supplementary;;;;;Maybe;Yes;Email;Twitter;;;;Email;Yes;No;2021/09/15_2:29:36_am_CET
49;Female;Americas;Americas;;Archaeology;;Senior_tenured;Sheets;Excel;;;No;No;Word;;;;No;No;Office;Tilia;;;No;No;;No;Yes;;;;;;;;No;;;;Too_expensive;;;Yes;1;Reccomendation;;;;Detailed;Reference;Yes;6;80;Main;Supplementary;;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/09/27_5:59:23_pm_CET
50;Female;Europe;Europe;;Archaeology;Botany;PhD_candidate;Excel;;;;No;No;Word;;;;No;No;Illustrator;Office;Tilia;;No;No;;No;Yes;;;;;;;;No;;;;Too_expensive;Unethical;;No;;;Plagiarism;Opposition;;Reference;Modifications;Yes;0;0;;;General;;;Maybe;Yes;Email;;;;;Email;No;Yes;2021/10/11_6:21:56_pm_CET
51;Male;Asia;Asia;;Botany;Palaeoenvironment;Senior_tenured;Canoco;Excel;SPSS;;No;No;Word;;;;No;No;Office;Tilia;;;No;No;;No;Yes;;;;;;;;No;;;;Money;Too_expensive;;No;;;Useless;;;Modifications;;Yes;6;100;Main;Supplementary;Institutional;;;Maybe;Yes;Email;Facebook;;;;Email;Yes;Yes;2021/10/11_8:16:15_pm_CET
53;Male;Americas;Asia;;Archaeology;;Junior_postdoc;Sheets;Excel;SPSS;;No;No;Docs;Word;;;No;No;Illustrator;Office;R;;No;Yes;;No;Yes;;;;;;;;Yes;Facilitated;;;;;;Yes;4;Access;;;;Reference;Modifications;Yes;4;100;Supplementary;;Institutional;General;Personal;Yes;Yes;Email;;;;;Email;No;Yes;2021/10/11_9:07:17_pm_CET
54;Male;Africa;Africa;;Botany;;PhD_candidate;Excel;SPSS;;;No;No;Docs;Word;;;No;No;Office;;;;No;No;;No;Yes;;;;;;;;No;;;;Unaware;;;Yes;1;;;;;Detailed;;No;4;40;Main;Supplementary;;;;Incentive;Yes;Email;;;;;Email;No;Yes;2021/10/12_10:09:23_pm_CET
